time,cpu,mem,diskRand,diskSeq
1731577762,2559.99,12975.17,371904.90,402557.29
1731579562,2560.99,13085.30,374394.11,360012.96
1731581362,2493.26,10078.79,332056.29,356280.10
1731583162,2476.75,8690.40,333812.61,339543.41
1731584962,2471.70,11579.28,321962.16,348440.54
1731586762,2422.13,8780.90,327066.00,404759.36
1731588562,2512.40,8298.41,314835.57,343469.45
1731590362,2488.38,8358.92,324104.39,339014.61
1731592162,2508.61,8834.14,373926.18,335397.53
1731593962,2374.26,9012.42,318701.28,351784.18
1731595762,2434.12,8568.12,350603.63,399951.26
1731597562,2533.57,12671.02,383291.14,408737.41
1731599362,2570.59,13428.81,390379.39,410167.25
1731601162,2582.81,13479.78,383919.14,399336.96
1731602962,2552.15,13379.73,374742.09,404438.17
1731604762,2564.52,13408.32,374075.82,402054.54
1731606562,2578.70,13438.01,376459.82,404146.81
1731608362,2592.67,13286.81,378549.71,397128.59
1731610162,2542.26,13410.44,374092.21,400336.50
1731611962,2571.54,13363.93,375525.17,402406.46
1731613762,2568.26,13344.23,376204.46,403695.65
1731615562,2526.77,13292.17,373493.46,401883.20
1731617362,2571.53,13348.76,378637.18,403129.97
1731619162,2573.58,13373.15,372107.91,396537.47
1731620962,2583.95,13437.89,377546.64,397545.91
1731622762,2545.84,13405.15,368652.92,398769.71
1731624562,2571.97,13465.84,379103.17,404290.51
1731626362,2523.93,13340.74,377592.95,401080.14
1731628162,2567.22,13357.90,371295.53,400923.75
1731629962,2553.56,13418.65,374457.13,401376.71
1731631762,2570.46,13411.12,372846.38,401634.91
1731633562,2577.84,13438.50,377114.75,401537.25
1731635362,2567.59,13352.73,366786.19,395161.00
1731637162,2590.82,13415.29,370935.84,396402.64
1731638962,2578.02,13369.18,371566.86,395416.39
1731640762,2558.05,13342.46,377217.94,406137.74
1731642562,2495.59,12990.96,366303.14,395335.47
1731644362,2573.02,13426.59,369203.00,398091.17
1731646162,2582.87,13424.36,368423.19,396175.39
1731647962,2528.08,13389.44,378817.39,401882.05
1731649762,2590.66,13452.86,372380.45,399030.07
1731651562,2593.75,13410.39,375652.27,402576.43
1731653362,2593.71,13435.82,373520.75,400681.45
1731655162,2568.72,13411.02,371705.91,397736.71
1731656962,2587.23,13399.11,371354.29,395815.95
1731658762,2583.74,13467.70,374056.93,395239.64
1731660562,2549.00,13421.48,373462.75,398899.55
1731662362,2610.62,13428.48,381320.42,404306.62
